%RecordDate (EST)	InstrumentID	Height	AHD Level
%day month year hour min Height AHD_level

11 9 20 14 00		1.376560569	0.366560569
11 9 20 14 06		1.385950208	0.375950208
11 9 20 14 12		1.404242992	0.394242992
11 9 20 14 18		1.411267638	0.401267638
11 9 20 14 24		1.418222785	0.408222785
11 9 20 14 30		1.393879414	0.383879414
11 9 20 14 36		1.423439264	0.413439264
11 9 20 14 42		1.433246136	0.423246136
11 9 20 14 48		1.424482584	0.414482584
11 9 20 14 54		1.410224319	0.400224319
11 9 20 15 00		1.399582624	0.389582624
11 9 20 15 06		1.393948913	0.383948913
11 9 20 15 12		1.381359816	0.371359816
11 9 20 15 18		1.374752164	0.364752164
11 9 20 15 24		1.366684198	0.356684198
11 9 20 15 30		1.357989669	0.347989669
11 9 20 15 36		1.352007985	0.342007985
11 9 20 15 42		1.354651332	0.344651332
11 9 20 15 48		1.352425337	0.342425337
11 9 20 15 54		1.346791863	0.336791863
11 9 20 16 00		1.337889194	0.327889194
11 9 20 16 06		1.331907511	0.321907511
11 9 20 16 12		1.316606045	0.306606045
11 9 20 16 18		1.294070601	0.284070601
11 9 20 16 24		1.267431736	0.257431736
11 9 20 16 30		1.251364946	0.241364946
11 9 20 16 36		1.230985999	0.220985999
11 9 20 16 42		1.206433892	0.196433892
11 9 20 16 48		1.18181181	0.17181181
11 9 20 16 54		1.174508929	0.164508929
11 9 20 17 00		1.169014096	0.159014096
11 9 20 17 06		1.147452593	0.137452593
11 9 20 17 12		1.132290006	0.122290006
11 9 20 17 18		1.121996284	0.111996284
11 9 20 17 24		1.109615803	0.099615803
11 9 20 17 30		1.096678734	0.086678734
11 9 20 17 36		1.082489729	0.072489729
11 9 20 17 42		1.067257762	0.057257762
11 9 20 17 48		1.041662693	0.031662693
11 9 20 17 54		1.017040372	0.007040372
11 9 20 18 00		0.992975116	-0.017024884
11 9 20 18 06		0.971413732	-0.038586268
11 9 20 18 12		0.953816712	-0.056183288
11 9 20 18 18		0.93628937	-0.07371063
11 9 20 18 24		0.925856471	-0.084143529
11 9 20 18 30		0.900121689	-0.109878311
11 9 20 18 36		0.878421307	-0.131578693
11 9 20 18 42		0.859989703	-0.150010297
11 9 20 18 48		0.845452964	-0.164547036
11 9 20 18 54		0.827856064	-0.182143936
11 9 20 19 00		0.818049073	-0.191950927
11 9 20 19 06		0.804486036	-0.205513964
11 9 20 19 12		0.784385324	-0.225614676
11 9 20 19 18		0.782576978	-0.227423022
11 9 20 19 24		0.761154592	-0.248845408
11 9 20 19 30		0.748356938	-0.261643062
11 9 20 19 36		0.728116751	-0.281883249
11 9 20 19 42		0.726308584	-0.283691416
11 9 20 19 48		0.707389891	-0.302610109
11 9 20 19 54		0.688610613	-0.321389387
11 9 20 20 00		0.668162227	-0.341837773
11 9 20 20 06		0.652721167	-0.357278833
11 9 20 20 12		0.642079592	-0.367920408
11 9 20 20 18		0.629560173	-0.380439827
11 9 20 20 24		0.611017168	-0.398982832
11 9 20 20 30		0.594087899	-0.415912101
11 9 20 20 36		0.599721849	-0.410278151
11 9 20 20 42		0.602990687	-0.407009313
11 9 20 20 48		0.593740046	-0.416259954
11 9 20 20 54		0.592418551	-0.417581449
11 9 20 21 00		0.595479071	-0.414520929
11 9 20 21 06		0.592557669	-0.417442331
11 9 20 21 12		0.585254729	-0.424745271
11 9 20 21 18		0.565293074	-0.444706926
11 9 20 21 24		0.546702385	-0.463297615
11 9 20 21 30		0.576351881	-0.433648119
11 9 20 21 36		0.576282322	-0.433717678
11 9 20 21 42		0.568979204	-0.441020796
11 9 20 21 48		0.558407187	-0.451592813
11 9 20 21 54		0.577117085	-0.432882915
11 9 20 22 00		0.577186644	-0.432813356
11 9 20 22 06		0.579134047	-0.430865953
11 9 20 22 12		0.564388812	-0.445611188
11 9 20 22 18		0.586436987	-0.423563013
11 9 20 22 24		0.595965922	-0.414034078
11 9 20 22 30		0.595270336	-0.414729664
11 9 20 22 36		0.596383274	-0.413616726
11 9 20 22 42		0.599721789	-0.410278211
11 9 20 22 48		0.616205931	-0.393794069
11 9 20 22 54		0.618709683	-0.391290317
11 9 20 23 00		0.622674346	-0.387325654
11 9 20 23 06		0.613562882	-0.396437118
11 9 20 23 12		0.619753003	-0.390246997
11 9 20 23 18		0.640897274	-0.369102726
11 9 20 23 24		0.655920804	-0.354079196
11 9 20 23 30		0.663223743	-0.346776257
11 9 20 23 36		0.681933522	-0.328066478
11 9 20 23 42		0.692714334	-0.317285666
11 9 20 23 48		0.705998898	-0.304001102
11 9 20 23 54		0.714345276	-0.295654724
12 9 20 0 00		0.722204924	-0.287795076
12 9 20 0 06		0.730551183	-0.279448817
12 9 20 0 12		0.746548414	-0.263451586
12 9 20 0 18		0.755103528	-0.254896472
12 9 20 0 24		0.764006138	-0.245993862
12 9 20 0 30		0.778056026	-0.231943974
12 9 20 0 36		0.789462626	-0.220537374
12 9 20 0 42		0.792175174	-0.217824826
12 9 20 0 48		0.813875854	-0.196124146
12 9 20 0 54		0.825421631	-0.184578369
12 9 20 1 00		0.844826937	-0.165173063
12 9 20 1 06		0.856998682	-0.153001318
12 9 20 1 12		0.869657516	-0.140342484
12 9 20 1 18		0.873482883	-0.136517117
12 9 20 1 24		0.88447243	-0.12552757
12 9 20 1 30		0.892192602	-0.117807398
12 9 20 1 36		0.908398509	-0.101601491
12 9 20 1 42		0.93427223	-0.07572777
12 9 20 1 48		0.941088438	-0.068911562
12 9 20 1 54		0.947070241	-0.062929759
12 9 20 2 00		0.955416799	-0.054583201
12 9 20 2 06		0.967936099	-0.042063901
12 9 20 2 12		0.981151044	-0.028848956
12 9 20 2 18		0.993323028	-0.016676972
12 9 20 2 24		0.997217894	-0.012782106
12 9 20 2 30		1.006677032	-0.003322968
12 9 20 2 36		1.023648262	0.013648262
12 9 20 2 42		1.026430249	0.016430249
12 9 20 2 48		1.011128306	0.001128306
12 9 20 2 54		1.010919809	0.000919809
12 9 20 3 00		1.028516889	0.018516889
12 9 20 3 06		0.990262687	-0.019737313
12 9 20 3 12		1.026291132	0.016291132
12 9 20 3 18		1.059398174	0.049398174
12 9 20 3 24		1.052094936	0.042094936
12 9 20 3 30		1.053277731	0.043277731
12 9 20 3 36		1.026986718	0.016986718
12 9 20 3 42		1.074421763	0.064421763
12 9 20 3 48		1.059328556	0.049328556
12 9 20 3 54		1.07776022	0.06776022
12 9 20 4 00		1.048895836	0.038895836
12 9 20 4 06		1.059607029	0.049607029
12 9 20 4 12		1.037559032	0.027559032
12 9 20 4 18		1.03519392	0.02519392
12 9 20 4 24		1.019753098	0.009753098
12 9 20 4 30		1.028099537	0.018099537
12 9 20 4 36		1.023230672	0.013230672
12 9 20 4 42		1.016275287	0.006275287
12 9 20 4 48		1.003964543	-0.006035457
12 9 20 4 54		1.01662302	0.00662302
12 9 20 5 00		1.007094622	-0.002905378
12 9 20 5 06		0.984211266	-0.025788734
12 9 20 5 12		0.964249849	-0.045750151
12 9 20 5 18		0.966197133	-0.043802867
12 9 20 5 24		0.969396472	-0.040603528
12 9 20 5 30		0.952217102	-0.057782898
12 9 20 5 36		0.930168688	-0.079831312
12 9 20 5 42		0.908189774	-0.101810226
12 9 20 5 48		0.891914487	-0.118085513
12 9 20 5 54		0.876821637	-0.133178363
12 9 20 6 00		0.861311078	-0.148688922
12 9 20 6 06		0.85811162	-0.15188838
12 9 20 6 12		0.846983016	-0.163016984
12 9 20 6 18		0.827230096	-0.182769904
12 9 20 6 24		0.800312877	-0.209687123
12 9 20 6 30		0.794679224	-0.215320776
12 9 20 6 36		0.805320919	-0.204679081
12 9 20 6 42		0.803095102	-0.206904898
12 9 20 6 48		0.789045453	-0.220954547
12 9 20 6 54		0.781464159	-0.228535841
12 9 20 7 00		0.779308081	-0.230691919
12 9 20 7 06		0.782785714	-0.227214286
12 9 20 7 12		0.773813128	-0.236186872
12 9 20 7 18		0.755659938	-0.254340062
12 9 20 7 24		0.730968475	-0.279031525
12 9 20 7 30		0.722691715	-0.287308285
12 9 20 7 36		0.699530482	-0.310469518
12 9 20 7 42		0.695635498	-0.314364502
12 9 20 7 48		0.680890143	-0.329109857
